time,Xm,Xo,delta,comp_time
52.864,0.9859771700074644,0.874053287886007,0.5,0.0049996376037597
54.464,0.9948269938915282,0.874053287886007,0.5,0.0020246505737304
56.064,0.9933837477978382,0.874053287886007,0.5,0.0029997825622558
57.664,0.9731147490127804,0.874053287886007,0.5,0.003023624420166
59.264,0.973704983068377,0.874053287886007,0.5,0.0040309429168701
60.864,0.940354590817996,0.874053287886007,0.5,0.0030055046081542
62.464,0.9521082072199574,0.874053287886007,0.5,0.0060288906097412
64.06400000000001,0.9782538764134464,0.874053287886007,0.5,0.0030093193054199
65.664,0.9801316387714404,0.874053287886007,0.5,0.0020003318786621
67.264,0.9765280001591556,0.874053287886007,0.5,0.0030100345611572
68.864,0.9371262357543356,0.874053287886007,0.5,0.0020241737365722
70.464,0.9229285122580602,0.874053287886007,0.5,0.002018928527832
72.06400000000001,0.905126902151746,0.874053287886007,0.5,0.0030219554901123
73.664,0.9195678975732104,0.874053287886007,0.5,0.0019986629486083
75.264,0.9081873200020244,0.874053287886007,0.5,0.0020010471343994
76.864,0.8931203724417063,0.874053287886007,0.5,0.0030179023742675
78.464,0.8701349126969975,0.874053287886007,0.5,0.0020194053649902
80.06400000000001,0.887764583155435,0.874053287886007,0.5,0.0029990673065185
81.664,0.8905901419845623,0.874053287886007,0.5,0.0030000209808349
83.264,0.9001040375272777,0.874053287886007,0.5,0.0030086040496826
84.864,0.8828157907378936,0.874053287886007,0.5,0.0060491561889648
86.464,0.8364303214172004,0.874053287886007,0.5,0.0070018768310546
88.06400000000001,0.6839758544151187,0.874053287886007,0.5,0.0020229816436767
89.664,0.5536275160364931,0.874053287886007,0.5,0.003021240234375
91.264,0.5372925755449447,0.874053287886007,0.5,0.0030088424682617
92.864,0.3173105078629141,0.874053287886007,0.5,150.03299045562744
94.464,0.7522841958195954,0.0,0.5,0.0030310153961181
96.064,0.8195370136183353,0.0,0.5,0.0079963207244873
97.664,0.7451216772903246,0.0,0.5,0.0030000209808349
99.264,0.75959757813274,0.0,0.5,0.0030064582824707
100.864,0.8054477069929973,0.0,0.5,0.0120534896850585
102.464,0.9687591847073804,0.0,0.5,0.003000259399414
104.064,0.9376511599154796,0.0,0.5,0.0120422840118408
105.664,0.9264159487659416,0.0,0.5,0.004051923751831
107.264,0.9374321750819814,0.0,0.5,0.0030009746551513
108.864,0.942055144838826,0.0,0.5,0.0029993057250976
110.464,0.9471440075354144,0.0,0.5,0.0020046234130859
112.064,0.96257945452654,0.0,0.5,0.0030021667480468
113.664,0.9641885808682942,0.0,0.5,0.0030109882354736
115.264,0.9763090004280766,0.0,0.5,0.0030229091644287
116.864,0.9834623080558867,0.0,0.5,0.0020031929016113
118.464,0.9811820687620454,0.0,0.5,0.0050010681152343
120.064,0.9813507717812956,0.0,0.5,0.0030109882354736
121.664,0.982593521970428,0.0,0.5,0.0080080032348632
123.264,0.9869833571824316,0.0,0.5,0.0029895305633544
124.864,0.9931212296648152,0.0,0.5,0.0050272941589355
126.464,0.9959341491830692,0.0,0.5,0.003000259399414
128.064,0.9979533939338588,0.0,0.5,0.005760908126831
129.66400000000002,0.997685371770421,0.0,0.5,0.003016710281372
131.264,0.9957236011722908,0.0,0.5,0.0029878616333007
132.864,0.9977554166640086,0.0,0.5,0.0040018558502197
134.464,0.9964885845794648,0.0,0.5,0.0020225048065185
136.064,0.9972799786880784,0.0,0.5,0.0030062198638916
137.66400000000002,0.9985839632323013,0.0,0.5,0.0020093917846679
139.264,0.9990920813404228,0.0,0.5,0.0040035247802734
0.064,0.9842721050184896,1.0,0.5,0.002983808517456
1.664,0.979386891482481,1.0,0.5,0.0039973258972167
3.264,0.9801347786103268,1.0,0.5,0.0020203590393066
4.864,0.9794644339223058,1.0,0.5,0.0040004253387451
6.464,0.3173105078629141,1.0,0.5,57.66289210319519
8.064,0.7493461898688476,1.0,0.5,0.002969741821289
9.664,0.8997907966686207,1.0,0.5,0.0049679279327392
11.264,0.9929018657790144,1.0,0.5,0.0029964447021484
12.864,0.3173105078629141,1.0,0.5,53.260313510894775
14.464,0.7575285912016361,1.0,0.5,0.0020186901092529
16.064,0.7686082873202389,1.0,0.5,0.0020492076873779
17.664,0.3173105078629141,1.0,0.5,49.75466537475586
19.264,0.734162757488821,1.0,0.5,0.003016710281372
20.864,0.784583552921522,1.0,0.5,0.0050234794616699
22.464,0.7348353085767272,1.0,0.5,0.0059928894042968
24.064,0.7492328917789524,1.0,0.5,0.0030305385589599
25.664,0.7812457445721641,1.0,0.5,0.0030317306518554
27.264,0.3173105078629141,1.0,0.5,41.89387226104736
28.864,0.7370440937059386,1.0,0.5,0.0030016899108886
30.464,0.3173105078629141,1.0,0.5,39.82832264900208
32.064,0.3173105078629141,1.0,0.5,68.57039618492126
33.664,0.7347994774563444,0.5370495669980351,0.5,0.0090394020080566
35.264,0.7585310748893408,0.5370495669980351,0.5,0.0030138492584228
36.864,0.95836063255166,0.5370495669980351,0.5,0.0110139846801757
